Depth_2013_down,22.92,45.94,19.98,8.5,2.66
Depth_2013_max,17.72,39.93,30.18,9.5,2.67
Depth_2013_up,3.15,28.16,50.49,11.93,6.27
Depth_2014_down,11.89,41.18,33.52,9.91,3.51
Depth_2014_max,1.97,15.87,18.75,29.34,34.06
Depth_2014_min,18.45,65.75,13.09,2.05,0.65
Depth_2014_up,5.88,36.21,41.12,12.62,4.17
Depth_2015_down,18.61,48.06,22.1,8.79,2.45
Depth_2015_max,15.7,45.11,26.66,9.37,3.16
Depth_2015_min,22.19,50.46,13.48,9.06,4.8
Depth_2015_up,9.29,38.83,35.14,10.8,5.94
Depth_2016_down,9.98,42.07,28.56,11.62,7.76
Depth_2016_max,6.75,22.83,24.98,24.67,20.78
Depth_2016_min,16.78,53.96,22.23,6.06,0.96
Depth_2016_up,2.13,26.55,37.23,18.14,15.95
Depth_2017_down,4.6,44.86,36.15,12.85,1.55
Depth_2017_max,0.17,4.31,26.28,38.04,31.19
Depth_2017_min,34.92,48.6,11.26,3.36,1.86
Depth_2017_up,18.35,50.37,24.27,4.59,2.42
Depth_2018_down,15.98,50.25,24.9,7.02,1.85
Depth_2018_max,0.76,9.49,36.37,29.08,24.3
Depth_2018_min,35.64,37.57,16.74,7.36,2.68
Depth_2018_up,19.94,53.18,14.98,7.15,4.74
Depth_2019_down,18.04,46.3,24.44,6.36,4.86
Depth_2019_max,1.26,14.78,38.53,33.9,11.53
Depth_2019_min,14.21,56.12,21.52,5.67,2.48
Depth_2019_up,4.75,23.48,51.95,15.67,4.15
Depth_2020_down,2.49,21.49,42.27,24.55,9.2
Depth_2020_max,0.37,5.71,28.95,30.64,34.32
Depth_2020_min,23.41,51.04,18.04,6.15,1.35
Depth_2020_up,4.27,46.74,39.58,8.3,1.11
Depth_2021_down,9.67,50.16,29.57,9.11,1.49
Depth_2021_max,1.39,20.34,44.15,26.01,8.1
Depth_2021_min,13.85,44.11,30.39,8.04,3.6
Depth_2021_up,2.94,25.63,43.45,19.4,8.57
Depth_2022_down,20.49,57.99,15.18,4.57,1.77
Depth_2022_max,19.72,31.98,31.05,14.54,2.72
Depth_2022_min,21.75,57.39,13.94,3.91,3.02
Depth_2022_up,5.96,52.8,30,7.13,4.12
Depth_2023_down,17.17,45.45,25.58,7.32,4.49
Depth_2023_max,10.07,42.01,27.78,13.43,6.71
Depth_2023_min,32.03,50.16,12.84,4.47,0.51
Depth_2023_up,9.96,52.89,29.86,7.01,0.28
Depth_2024_down,42.82,49.42,7.29,0.43,0.03
Depth_2024_max,0.63,15.25,40.66,29.51,13.96
Depth_2024_min,10.7,60.78,26.31,1.88,0.33
Depth_2024_up,9.93,48.25,31.06,7.18,3.58
Depth_2025_min,26.35,42.81,22.55,7.8,0.49
Depth_2025_up,25.43,50.86,13.48,9.06,1.18
